"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1720","Check displaying of empty courses list","LMS system","Mon May 18 12:54:58 UTC 2026","passed","Mon May 18 12:55:00 UTC 2026","Courses","Courses","",""
"","3550","Create course","LMS system","Mon May 18 12:55:00 UTC 2026","passed","Mon May 18 12:55:03 UTC 2026","Courses","Courses","",""
"","2134","User login with wrong email or password","LMS system","Mon May 18 12:54:50 UTC 2026","passed","Mon May 18 12:54:52 UTC 2026","Authorization","Authentication","",""
"","3670","User login with correct email and password","LMS system","Mon May 18 12:54:52 UTC 2026","passed","Mon May 18 12:54:56 UTC 2026","Authorization","Authentication","",""
"","2060","Registration with correct email, username and password","LMS system","Mon May 18 12:54:56 UTC 2026","passed","Mon May 18 12:54:58 UTC 2026","Registration","Authentication","",""
"","1872","Navigation from login page to registration page","LMS system","Mon May 18 12:54:54 UTC 2026","passed","Mon May 18 12:54:56 UTC 2026","Authorization","Authentication","",""
"","4286","Edit course","LMS system","Mon May 18 12:55:01 UTC 2026","passed","Mon May 18 12:55:05 UTC 2026","Courses","Courses","",""
"","1967","User login with wrong email or password","LMS system","Mon May 18 12:54:50 UTC 2026","passed","Mon May 18 12:54:52 UTC 2026","Authorization","Authentication","",""
"","1489","User login with wrong email or password","LMS system","Mon May 18 12:54:52 UTC 2026","passed","Mon May 18 12:54:54 UTC 2026","Authorization","Authentication","",""
"","1623","Check displaying of dashboard page","LMS system","Mon May 18 12:55:05 UTC 2026","passed","Mon May 18 12:55:07 UTC 2026","Dashboard","Dashboard","",""
